delta_z,delta_x,hartree_fock_energy,final_energy,distance,angle,dihedral_angle
3.0,0.3,11.327554601057873,-0.9989820103347796,3.014962686336267,9.0,15
3.0,0.4,7.568795652063477,-3.7969343063002188,3.0265491900843107,2.0,5
3.0,0.4,8.551141365184714,-3.0303756018075183,3.0265491900843107,2.0,10
3.0,0.4,10.569976936671877,-1.5071036719494624,3.0265491900843107,7.0,15
3.1,0.0,5.041592809660848,-4.9462588340035625,3.1,5.0,5
3.1,0.0,6.241550042179595,-4.112071097000395,3.1,10.0,10
3.1,0.0,8.37906593142929,-2.6363885802683042,3.1,15.0,15
3.1,0.0,11.692313973481694,-0.2268671164766169,3.1,20.0,20
3.1,0.1,4.916902289300903,-5.019808741838717,3.1016124838541645,3.0,5
3.1,0.1,6.012748432073315,-4.262372117246448,3.1016124838541645,8.0,10
3.1,0.1,8.01179328176726,-2.846849933996136,3.1016124838541645,13.0,15
3.1,0.1,11.125600587479545,-0.5832696152841939,3.1016124838541645,18.0,20
3.1,0.2,4.720938427192212,-5.129392041077981,3.106444913401813,1.0,5
3.1,0.2,5.71235263891716,-4.434297892317913,3.106444913401813,6.0,10
3.1,0.2,7.573475138957747,-3.1064087253488752,3.106444913401813,11.0,15
3.1,0.2,10.489431976010874,-0.9805602641201778,3.106444913401813,16.0,20
3.1,0.3,4.4567349004119245,-5.295808442770867,3.114482300479488,0.0,5
3.1,0.3,5.342689124085654,-4.655331275718531,3.114482300479488,4.0,10
3.1,0.3,7.066095657282681,-3.4466048826881366,3.114482300479488,9.0,15
3.1,0.3,9.786554102950824,-1.420605519744632,3.114482300479488,14.0,20
3.1,0.4,4.1298153660544745,-5.5245768420954615,3.125699921617557,2.0,5
3.1,0.4,4.908416260671043,-4.928473411933392,3.125699921617557,2.0,10
3.1,0.4,6.4939363054754695,-3.7779425179286865,3.125699921617557,7.0,15
3.1,0.4,9.021702304589352,-1.7853950683074795,3.125699921617557,12.0,20
3.2,0.0,2.2829483869000406,-6.194131706872975,3.2,5.0,5
3.2,0.0,3.2153470514125067,-5.6023365580295925,3.2,10.0,10
3.2,0.0,4.870353914412334,-4.495091314516242,3.2,15.0,15
3.2,0.0,7.422707818380118,-2.7496709156133905,3.2,20.0,20
3.2,0.0,11.16676752327608,-0.0286042286584915,3.2,25.0,25
3.2,0.1,2.1891469770890635,-6.249471044288051,3.2015621187164247,3.0,5
3.2,0.1,3.0441248526197966,-5.68811733320871,3.2015621187164247,8.0,10
3.2,0.1,4.597342609690998,-4.629602690936691,3.2015621187164247,13.0,15
3.2,0.1,7.0046163642526205,-2.9710306353169136,3.2015621187164247,18.0,20
3.2,0.1,10.533599894030651,-0.4320603710706279,3.2015621187164247,23.0,25
3.2,0.2,2.0411331218137696,-6.334458895334217,3.20624390837628,1.0,5
3.2,0.2,2.8181219400285937,-5.793231741999573,3.20624390837628,6.0,10
3.2,0.2,4.269401693787444,-4.817985441686924,3.20624390837628,11.0,15
3.2,0.2,6.532072065360213,-3.248075936509328,3.20624390837628,16.0,20
3.2,0.2,9.846584921261163,-0.8605439323359245,3.20624390837628,21.0,25
3.2,0.3,1.8412733170029851,-6.4435409374599,3.21403173599764,0.0,5
